image,org_symbol,org_source,idx,symbol,thickness,confusing,suggestion
af4670e4-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1202,x,bold,none,none
af6f46d6-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1321,v,none,none,none
af37abae-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1283,v,none,none,none
af2d0f3c-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1399,v,none,none,none
af58bb64-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1297,v,none,none,none
af70be76-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1261,v,none,none,none
af8710b8-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1207,v,none,none,none
af45a308-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1287,v,none,none,none
af6e3228-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1359,v,none,none,none
af4eb452-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1341,x,none,none,none
af35edd2-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1281,iv,bold,none,none
af24983e-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1217,v,none,none,none
af96aa6e-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1241,v,none,none,none
af4b6a7c-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1375,vi,none,on-fence,none
af644de4-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1221,v,none,no-clue,remove
af31a0ec-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1319,v,none,none,none
af1c12fe-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1386,v,none,none,none
af73cf80-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1267,v,none,none,none
af282ce2-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1249,v,none,none,none
af2f5922-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1362,v,none,no-clue,remove
af419a4c-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1254,v,bold,none,none
af3d0db0-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1368,v,none,none,none
af6dafb0-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1358,x,bold,none,none
af57414e-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1186,v,none,none,none
af751782-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1170,v,none,none,none
af580bba-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1260,x,bold,on-fence,none
af47aec8-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1288,v,none,none,none
af962f6c-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1229,v,none,none,none
af3359d2-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1237,v,none,none,none
af2e31b4-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1400,v,none,none,none
af32da84-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1320,v,none,none,none
af23763e-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1218,v,none,none,none
af538e46-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1258,v,bold,on-fence,none
af6181fe-ce5d-11eb-b317-38f9d35ea60f.png,v,train,1201,v,none,none,none
